frame_label,board_id
000005_right_429203199080_mono8,1
000005_right_429203199080_mono8,2
000005_right_429203199080_mono8,3
000005_right_429203199080_mono8,4
000005_right_429203199080_mono8,5
000006_right_430203197000_mono8,1
000006_right_430203197000_mono8,2
000006_right_430203197000_mono8,3
000006_right_430203197000_mono8,4
000006_right_430203197000_mono8,5
000007_right_431303195240_mono8,1
000007_right_431303195240_mono8,2
000007_right_431303195240_mono8,3
000007_right_431303195240_mono8,4
000007_right_431303195240_mono8,5
000009_right_433603197080_mono8,1
000009_right_433603197080_mono8,2
000009_right_433603197080_mono8,3
000009_right_433603197080_mono8,4
000009_right_433603197080_mono8,5
000084_right_515603198000_mono8,1
000084_right_515603198000_mono8,2
000084_right_515603198000_mono8,3
000084_right_515603198000_mono8,4
000084_right_515603198000_mono8,5
000085_right_516699084160_mono8,1
000085_right_516699084160_mono8,2
000085_right_516699084160_mono8,3
000085_right_516699084160_mono8,4
000085_right_516699084160_mono8,5
000090_right_522303194080_mono8,1
000090_right_522303194080_mono8,2
000090_right_522303194080_mono8,3
000090_right_522303194080_mono8,4
000090_right_522303194080_mono8,5
000092_right_524403198240_mono8,1
000092_right_524403198240_mono8,2
000092_right_524403198240_mono8,3
000092_right_524403198240_mono8,4
000092_right_524403198240_mono8,5
000093_right_525603195160_mono8,1
000093_right_525603195160_mono8,2
000093_right_525603195160_mono8,3
000093_right_525603195160_mono8,4
000093_right_525603195160_mono8,5
000095_right_527903199240_mono8,1
000095_right_527903199240_mono8,2
000095_right_527903199240_mono8,3
000095_right_527903199240_mono8,4
000095_right_527903199240_mono8,5
000096_right_528903198160_mono8,1
000096_right_528903198160_mono8,2
000096_right_528903198160_mono8,3
000096_right_528903198160_mono8,4
000096_right_528903198160_mono8,5
