frame_index,frame_label,board_id,used_point_count,outer_point_count,internal_point_count
0,000000_right_112699088080_mono8,1,37,4,33
0,000000_right_112699088080_mono8,2,36,4,32
0,000000_right_112699088080_mono8,3,30,4,26
0,000000_right_112699088080_mono8,4,33,4,29
0,000000_right_112699088080_mono8,5,33,4,29
3,000003_right_118203196000_mono8,1,36,4,32
3,000003_right_118203196000_mono8,2,32,4,28
3,000003_right_118203196000_mono8,3,30,4,26
3,000003_right_118203196000_mono8,4,33,4,29
3,000003_right_118203196000_mono8,5,33,4,29
4,000004_right_119203197240_mono8,1,36,4,32
4,000004_right_119203197240_mono8,2,33,4,29
4,000004_right_119203197240_mono8,3,30,4,26
4,000004_right_119203197240_mono8,4,32,4,28
4,000004_right_119203197240_mono8,5,33,4,29
6,000006_right_121403198080_mono8,1,37,4,33
6,000006_right_121403198080_mono8,2,35,4,31
6,000006_right_121403198080_mono8,3,29,4,25
6,000006_right_121403198080_mono8,4,33,4,29
6,000006_right_121403198080_mono8,5,33,4,29
7,000007_right_122503196000_mono8,1,37,4,33
7,000007_right_122503196000_mono8,2,34,4,30
7,000007_right_122503196000_mono8,3,30,4,26
7,000007_right_122503196000_mono8,4,32,4,28
7,000007_right_122503196000_mono8,5,33,4,29
10,000012_right_128103196160_mono8,1,36,4,32
10,000012_right_128103196160_mono8,2,36,4,32
10,000012_right_128103196160_mono8,3,29,4,25
10,000012_right_128103196160_mono8,4,33,4,29
10,000012_right_128103196160_mono8,5,33,4,29
11,000013_right_129003210080_mono8,1,37,4,33
11,000013_right_129003210080_mono8,2,36,4,32
11,000013_right_129003210080_mono8,3,30,4,26
11,000013_right_129003210080_mono8,4,33,4,29
11,000013_right_129003210080_mono8,5,33,4,29
14,000016_right_132203196160_mono8,1,36,4,32
14,000016_right_132203196160_mono8,2,36,4,32
14,000016_right_132203196160_mono8,3,29,4,25
14,000016_right_132203196160_mono8,4,32,4,28
14,000016_right_132203196160_mono8,5,32,4,28
15,000017_right_133503197080_mono8,1,37,4,33
15,000017_right_133503197080_mono8,2,36,4,32
15,000017_right_133503197080_mono8,3,30,4,26
15,000017_right_133503197080_mono8,4,33,4,29
15,000017_right_133503197080_mono8,5,33,4,29
18,000024_right_140903196080_mono8,1,37,4,33
18,000024_right_140903196080_mono8,2,36,4,32
18,000024_right_140903196080_mono8,3,29,4,25
18,000024_right_140903196080_mono8,4,33,4,29
18,000024_right_140903196080_mono8,5,33,4,29
20,000027_right_144003195160_mono8,1,37,4,33
20,000027_right_144003195160_mono8,2,36,4,32
20,000027_right_144003195160_mono8,3,30,4,26
20,000027_right_144003195160_mono8,4,33,4,29
20,000027_right_144003195160_mono8,5,33,4,29
21,000031_right_148403197160_mono8,1,37,4,33
21,000031_right_148403197160_mono8,2,33,4,29
21,000031_right_148403197160_mono8,3,30,4,26
21,000031_right_148403197160_mono8,4,32,4,28
21,000031_right_148403197160_mono8,5,33,4,29
22,000032_right_149503197080_mono8,1,37,4,33
22,000032_right_149503197080_mono8,2,34,4,30
22,000032_right_149503197080_mono8,3,30,4,26
22,000032_right_149503197080_mono8,4,33,4,29
22,000032_right_149503197080_mono8,5,33,4,29
24,000034_right_151603197240_mono8,1,37,4,33
24,000034_right_151603197240_mono8,2,36,4,32
24,000034_right_151603197240_mono8,3,30,4,26
24,000034_right_151603197240_mono8,4,32,4,28
24,000034_right_151603197240_mono8,5,33,4,29
