frame_label,board_id
000000_right_112699088080_mono8,1
000000_right_112699088080_mono8,2
000000_right_112699088080_mono8,3
000000_right_112699088080_mono8,4
000000_right_112699088080_mono8,5
000003_right_118203196000_mono8,1
000003_right_118203196000_mono8,2
000003_right_118203196000_mono8,3
000003_right_118203196000_mono8,4
000003_right_118203196000_mono8,5
000004_right_119203197240_mono8,1
000004_right_119203197240_mono8,2
000004_right_119203197240_mono8,3
000004_right_119203197240_mono8,4
000004_right_119203197240_mono8,5
000006_right_121403198080_mono8,1
000006_right_121403198080_mono8,2
000006_right_121403198080_mono8,3
000006_right_121403198080_mono8,4
000006_right_121403198080_mono8,5
000007_right_122503196000_mono8,1
000007_right_122503196000_mono8,2
000007_right_122503196000_mono8,3
000007_right_122503196000_mono8,4
000007_right_122503196000_mono8,5
000012_right_128103196160_mono8,1
000012_right_128103196160_mono8,2
000012_right_128103196160_mono8,3
000012_right_128103196160_mono8,4
000012_right_128103196160_mono8,5
000013_right_129003210080_mono8,1
000013_right_129003210080_mono8,2
000013_right_129003210080_mono8,3
000013_right_129003210080_mono8,4
000013_right_129003210080_mono8,5
000016_right_132203196160_mono8,1
000016_right_132203196160_mono8,2
000016_right_132203196160_mono8,3
000016_right_132203196160_mono8,4
000016_right_132203196160_mono8,5
000017_right_133503197080_mono8,1
000017_right_133503197080_mono8,2
000017_right_133503197080_mono8,3
000017_right_133503197080_mono8,4
000017_right_133503197080_mono8,5
000024_right_140903196080_mono8,1
000024_right_140903196080_mono8,2
000024_right_140903196080_mono8,3
000024_right_140903196080_mono8,4
000024_right_140903196080_mono8,5
000027_right_144003195160_mono8,1
000027_right_144003195160_mono8,2
000027_right_144003195160_mono8,3
000027_right_144003195160_mono8,4
000027_right_144003195160_mono8,5
000031_right_148403197160_mono8,1
000031_right_148403197160_mono8,2
000031_right_148403197160_mono8,3
000031_right_148403197160_mono8,4
000031_right_148403197160_mono8,5
000032_right_149503197080_mono8,1
000032_right_149503197080_mono8,2
000032_right_149503197080_mono8,3
000032_right_149503197080_mono8,4
000032_right_149503197080_mono8,5
000034_right_151603197240_mono8,1
000034_right_151603197240_mono8,2
000034_right_151603197240_mono8,3
000034_right_151603197240_mono8,4
000034_right_151603197240_mono8,5
000037_right_154903194240_mono8,1
000037_right_154903194240_mono8,2
000037_right_154903194240_mono8,3
000037_right_154903194240_mono8,4
000037_right_154903194240_mono8,5
000047_right_165603194080_mono8,1
000047_right_165603194080_mono8,2
000047_right_165603194080_mono8,3
000047_right_165603194080_mono8,4
000047_right_165603194080_mono8,5
000053_right_172103194160_mono8,1
000053_right_172103194160_mono8,2
000053_right_172103194160_mono8,3
000053_right_172103194160_mono8,4
000053_right_172103194160_mono8,5
000064_right_183903196160_mono8,1
000064_right_183903196160_mono8,2
000064_right_183903196160_mono8,3
000064_right_183903196160_mono8,4
000064_right_183903196160_mono8,5
000065_right_184903195080_mono8,1
000065_right_184903195080_mono8,2
000065_right_184903195080_mono8,3
000065_right_184903195080_mono8,4
000065_right_184903195080_mono8,5
000072_right_192699082080_mono8,1
000072_right_192699082080_mono8,2
000072_right_192699082080_mono8,3
000072_right_192699082080_mono8,4
000072_right_192699082080_mono8,5
000074_right_195003197240_mono8,1
000074_right_195003197240_mono8,2
000074_right_195003197240_mono8,3
000074_right_195003197240_mono8,4
000074_right_195003197240_mono8,5
000075_right_196103191160_mono8,1
000075_right_196103191160_mono8,2
000075_right_196103191160_mono8,3
000075_right_196103191160_mono8,4
000075_right_196103191160_mono8,5
000080_right_201503198080_mono8,1
000080_right_201503198080_mono8,2
000080_right_201503198080_mono8,3
000080_right_201503198080_mono8,4
000080_right_201503198080_mono8,5
000083_right_204699087080_mono8,1
000083_right_204699087080_mono8,2
000083_right_204699087080_mono8,3
000083_right_204699087080_mono8,4
000083_right_204699087080_mono8,5
000084_right_205699151000_mono8,1
000084_right_205699151000_mono8,2
000084_right_205699151000_mono8,3
000084_right_205699151000_mono8,4
000084_right_205699151000_mono8,5
000085_right_206803199240_mono8,1
000085_right_206803199240_mono8,2
000085_right_206803199240_mono8,3
000085_right_206803199240_mono8,4
000085_right_206803199240_mono8,5
