dataset,dataset_key,method,polar_bin_deg,point_count,pixel_rmse,angular_rmse_mrad,bin_assignment_camera,source_result_dir
Sequence A,1444190,Pixel,0--30,852,0.5053759690072507,0.3456317203653609,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel
Sequence A,1444190,Pixel,30--50,1258,0.485797226665463,0.32657695219002864,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel
Sequence A,1444190,Pixel,50+,578,0.6034418655362807,0.4000453162411737,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel
Sequence A,1444190,Spherical,0--30,852,0.5055697376895006,0.3456144496780617,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_spherical
Sequence A,1444190,Spherical,30--50,1258,0.486348268218036,0.3267955703480517,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_spherical
Sequence A,1444190,Spherical,50+,578,0.602828885194633,0.39955534652685487,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_spherical
Sequence A,1444190,Hybrid,0--30,852,0.5052287816147452,0.3453707670249085,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_hybrid
Sequence A,1444190,Hybrid,30--50,1258,0.4858725715043171,0.326632199428509,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_hybrid
Sequence A,1444190,Hybrid,50+,578,0.6026856265749309,0.39957725210340533,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_1444190clear_hybrid
Sequence B,134853,Pixel,0--30,956,0.4368486705744783,0.29997562121091786,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_pixel
Sequence B,134853,Pixel,30--50,1588,0.5238454627496274,0.3541354410421506,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_pixel
Sequence B,134853,Pixel,50+,322,0.5858573466935566,0.39229407283497303,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_pixel
Sequence B,134853,Spherical,0--30,956,0.4365646505140541,0.29965762028067505,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_spherical
Sequence B,134853,Spherical,30--50,1588,0.5232772750427895,0.35365515082039517,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_spherical
Sequence B,134853,Spherical,50+,322,0.5835820827989987,0.3901638692932483,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_spherical
Sequence B,134853,Hybrid,0--30,956,0.43665520584343304,0.2998374621422985,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_hybrid
Sequence B,134853,Hybrid,30--50,1588,0.5237342443313401,0.354053079407591,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_hybrid
Sequence B,134853,Hybrid,50+,322,0.5862853999309322,0.3922272653611049,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_134853clear_hybrid
Sequence C,144928,Pixel,0--30,1590,0.4606053520250242,0.31561461912808036,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_pixel
Sequence C,144928,Pixel,30--50,1877,0.5442205949485467,0.3671301397863571,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_pixel
Sequence C,144928,Pixel,50+,374,0.68062042202048,0.44277965634716393,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_pixel
Sequence C,144928,Spherical,0--30,1590,0.461739110199679,0.31620342586681005,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_spherical
Sequence C,144928,Spherical,30--50,1877,0.5434004675834363,0.3663939432020373,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_spherical
Sequence C,144928,Spherical,50+,374,0.6805921652942404,0.4423022508514082,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_spherical
Sequence C,144928,Hybrid,0--30,1590,0.46041507225595163,0.3153973818843541,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_hybrid
Sequence C,144928,Hybrid,30--50,1877,0.5436397615321251,0.3666253304234666,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_hybrid
Sequence C,144928,Hybrid,50+,374,0.680643639178635,0.4425182320276831,shared_stage5_initial_camera,result_may/stage5_fixed_backend_seed1337_144928clear_hybrid
