dataset,dataset_key,method,polar_bin_deg,point_count,pixel_rmse,angular_rmse_mrad,bin_assignment_camera,source_result_dir
Sequence A,1444190,Pixel,0--30,788,0.5291044242881143,0.36297228378854396,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel
Sequence A,1444190,Pixel,30--50,1277,0.5294443157198884,0.355897302799013,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel
Sequence A,1444190,Pixel,50+,584,0.5767804841262747,0.3804722251792406,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel
Sequence A,1444190,Spherical,0--30,788,0.5290028101533735,0.3626721401814321,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_spherical
Sequence A,1444190,Spherical,30--50,1277,0.5301123959342735,0.35625368188609347,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_spherical
Sequence A,1444190,Spherical,50+,584,0.5749305248798744,0.3788252002489686,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_spherical
Sequence A,1444190,Hybrid,0--30,788,0.5283581154931954,0.36234650925355966,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_hybrid
Sequence A,1444190,Hybrid,30--50,1277,0.5294297643939406,0.3557398340485579,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_hybrid
Sequence A,1444190,Hybrid,50+,584,0.5769223815651682,0.3804689037401616,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_1444190clear_hybrid
Sequence B,134853,Pixel,0--30,976,0.4262050621945654,0.2926331261029268,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_pixel
Sequence B,134853,Pixel,30--50,1643,0.486471601189285,0.32828203786045324,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_pixel
Sequence B,134853,Pixel,50+,244,0.5986375383357294,0.4003907187761076,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_pixel
Sequence B,134853,Spherical,0--30,976,0.4261276618029604,0.2923897805087691,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_spherical
Sequence B,134853,Spherical,30--50,1643,0.48610828438128934,0.3279682713143622,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_spherical
Sequence B,134853,Spherical,50+,244,0.5944224843155548,0.3965654568394842,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_spherical
Sequence B,134853,Hybrid,0--30,976,0.4260634540367033,0.2925408775825235,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_hybrid
Sequence B,134853,Hybrid,30--50,1643,0.48622481873480133,0.3280721359798909,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_hybrid
Sequence B,134853,Hybrid,50+,244,0.5973609822920031,0.3989290819778157,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_134853clear_hybrid
Sequence C,192347,Pixel,0--30,788,0.5382718291892657,0.37178869555180916,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_pixel
Sequence C,192347,Pixel,30--50,1864,0.509204622364246,0.34278651485902734,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_pixel
Sequence C,192347,Pixel,50+,724,0.6241086093223854,0.4163962706306782,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_pixel
Sequence C,192347,Spherical,0--30,788,0.5378370496911997,0.3712530378182051,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_spherical
Sequence C,192347,Spherical,30--50,1864,0.5088030146021444,0.34242355974154515,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_spherical
Sequence C,192347,Spherical,50+,724,0.6205472980645885,0.413522708495475,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_spherical
Sequence C,192347,Hybrid,0--30,788,0.5387248540744946,0.3719962759913307,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_hybrid
Sequence C,192347,Hybrid,30--50,1864,0.5087585089309956,0.34238236227190677,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_hybrid
Sequence C,192347,Hybrid,50+,724,0.6203965326712072,0.41349498810007457,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed4242_192347clear_hybrid
